Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,104.940002,106.459999,104.529999,105.870003,95.47204599999999,2364900
2010-01-05,105.980003,107.160004,105.239998,107.120003,96.599289,2464500
2010-01-06,106.779999,108.91999799999999,106.16999799999999,108.800003,98.114281,2894500
2010-01-07,108.32,108.32,106.18,107.150002,96.62635,2412200
2010-01-08,106.110001,106.800003,104.889999,106.589996,96.121315,4106000
2010-01-11,107.449997,108.230003,105.870003,106.910004,96.409927,2352600
2010-01-12,105.389999,106.41999799999999,104.760002,105.290001,94.949028,3003100
2010-01-13,104.519997,107.099998,104.160004,106.82,96.328758,2481300
2010-01-14,107.08000200000001,107.699997,106.41999799999999,107.400002,96.851776,1896000
2010-01-15,107.120003,108.0,105.949997,107.660004,97.08627299999999,2443100
2010-01-19,107.08000200000001,108.599998,106.440002,108.400002,97.753555,2948300
2010-01-20,106.739998,106.739998,105.68,106.459999,96.13711500000001,3187800
2010-01-21,107.32,107.440002,104.739998,105.059998,94.872879,4033800
2010-01-22,104.349998,104.879997,101.720001,102.029999,92.13668100000001,4450200
2010-01-25,102.809998,104.959999,102.559998,104.0,93.915665,3817200
2010-01-26,101.970001,103.910004,101.66999799999999,102.360001,92.434685,3363100
2010-01-27,102.230003,103.059998,99.879997,101.400002,91.56777199999999,3265100
2010-01-28,103.040001,104.360001,100.629997,101.690002,91.82965899999999,3319500
2010-01-29,102.93,103.139999,98.08000200000001,98.769997,89.19279499999999,3104300
2010-02-01,99.470001,102.529999,99.339996,102.400002,92.47081,2497600
2010-02-02,102.41999799999999,104.940002,101.779999,104.629997,94.484573,2222300
2010-02-03,104.57,104.970001,102.720001,103.32,93.301598,1696700
2010-02-04,102.190002,102.589996,98.720001,98.879997,89.292114,2742600
2010-02-05,99.059998,99.980003,95.150002,98.400002,88.858673,4142600
2010-02-08,98.269997,99.129997,96.879997,97.190002,87.765976,2683100
2010-02-09,98.550003,99.849998,97.559998,98.510002,88.95800799999999,3843900
2010-02-10,98.029999,99.150002,96.32,98.550003,88.994125,4030300
2010-02-11,98.470001,99.989998,97.879997,99.82,90.140991,3911800
2010-02-12,98.610001,99.900002,98.0,99.58000200000001,89.924263,2828100
2010-02-16,101.989998,104.099998,100.849998,103.68,93.626694,4317700
2010-02-17,103.959999,104.629997,102.940002,103.57,93.527374,3049200
2010-02-18,101.870003,104.029999,101.290001,103.589996,93.545433,3296500
2010-02-19,103.089996,105.32,102.5,105.010002,94.827721,3283500
2010-02-22,105.370003,105.589996,103.040001,104.019997,93.933739,3323500
2010-02-23,103.300003,104.160004,101.82,102.459999,92.524971,4844500
2010-02-24,102.089996,102.559998,101.0,102.269997,92.35341600000001,3820100
2010-02-25,100.849998,103.33000200000001,100.07,103.139999,93.139061,2875100
2010-02-26,103.629997,103.970001,102.269997,103.639999,93.59058399999999,2375700
2010-03-01,104.010002,105.379997,103.709999,105.029999,94.84581800000001,2629100
2010-03-02,105.480003,107.040001,105.279999,106.18,95.884293,3197900
2010-03-03,106.360001,106.970001,105.290001,106.010002,95.730766,3108700
2010-03-04,106.260002,106.470001,104.33000200000001,104.800003,94.63810699999999,2678100
2010-03-05,105.629997,107.459999,105.58000200000001,107.410004,96.995026,2537000
2010-03-08,107.339996,107.410004,105.459999,106.019997,95.739822,2327300
2010-03-09,105.260002,106.760002,105.260002,106.209999,95.911354,1729700
2010-03-10,106.410004,107.16999799999999,105.279999,106.589996,96.254524,2501300
2010-03-11,106.25,107.309998,105.809998,106.940002,96.570587,2458900
2010-03-12,107.33000200000001,107.980003,106.099998,106.849998,96.489304,2691100
2010-03-15,105.190002,105.510002,102.699997,104.32,94.204628,3029400
2010-03-16,104.660004,104.949997,103.58000200000001,104.650002,94.502647,2948900
2010-03-17,105.449997,106.650002,105.139999,106.18,95.884293,2668300
2010-03-18,105.599998,106.25,102.760002,103.449997,93.418991,2951700
2010-03-19,101.68,104.459999,100.629997,101.68,91.820595,3774300
2010-03-22,100.629997,102.110001,100.110001,101.599998,91.748405,2894400
2010-03-23,102.32,103.529999,102.0,103.260002,93.247429,3932000
2010-03-24,102.550003,103.519997,102.0,102.32,92.398575,3191100
2010-03-25,103.510002,103.66999799999999,98.970001,99.07,89.463707,4599100
2010-03-26,99.309998,99.480003,97.089996,98.309998,88.777397,5131300
2010-03-29,98.980003,100.199997,98.589996,99.800003,90.122917,4797500
2010-03-30,100.08000200000001,100.239998,99.0,99.720001,90.050682,4022100
2010-03-31,100.190002,102.349998,99.949997,101.5,91.658096,3847900
2010-04-01,102.800003,103.980003,102.650002,103.870003,93.798264,3331200
2010-04-05,104.230003,106.550003,103.550003,106.209999,95.911354,3475200
2010-04-06,105.839996,107.040001,105.360001,106.540001,96.20938100000001,2227700
2010-04-07,106.0,106.550003,104.660004,105.470001,95.24311800000001,3953900
2010-04-08,104.779999,106.489998,104.349998,106.290001,95.983612,2835600
2010-04-09,106.629997,107.379997,106.08000200000001,106.760002,96.408051,2944300
2010-04-12,106.82,108.099998,106.370003,107.110001,96.724098,2723400
2010-04-13,107.0,107.0,105.33000200000001,106.790001,96.43512700000001,2077100
2010-04-14,107.639999,108.190002,106.510002,108.059998,97.582001,2112000
2010-04-15,103.940002,107.290001,103.75,106.66999799999999,96.326797,9769500
2010-04-16,105.620003,106.790001,104.529999,105.440002,95.216034,5417900
2010-04-19,104.089996,105.599998,103.849998,105.18,94.981255,2895500
2010-04-20,106.089996,108.43,106.07,107.809998,97.495255,3356700
2010-04-21,108.110001,108.480003,107.08000200000001,108.059998,97.721336,2999100
2010-04-22,106.93,108.470001,105.959999,108.239998,97.884117,3203600
2010-04-23,107.910004,109.989998,106.699997,109.870003,99.3582,3774300
2010-04-26,109.860001,111.0,109.07,109.489998,99.014526,3466700
2010-04-27,108.970001,109.25,105.5,105.860001,95.73185,3838600
2010-04-28,106.459999,107.150002,104.83000200000001,106.58000200000001,96.38295,2877600
2010-04-29,107.099998,107.449997,102.220001,102.91999799999999,93.073128,7898700
2010-04-30,102.779999,103.0,96.059998,101.760002,92.02409399999999,14487600
2010-05-03,101.879997,105.550003,101.150002,104.550003,94.547165,5995800
2010-05-04,102.07,102.410004,99.75,100.91999799999999,91.264465,4989000
2010-05-05,99.309998,100.809998,98.0,99.300003,89.799461,4577600
2010-05-06,98.959999,100.209999,90.410004,95.959999,86.779015,6581200
2010-05-07,95.959999,96.900002,92.019997,93.529999,84.581512,7296000
2010-05-10,97.0,98.66999799999999,96.440002,98.269997,88.868004,4365200
2010-05-11,97.019997,98.870003,96.190002,96.660004,87.412048,4105800
2010-05-12,97.489998,99.050003,96.989998,98.440002,89.021751,3633500
2010-05-13,98.279999,98.440002,96.25,96.459999,87.231186,4586200
2010-05-14,95.809998,95.970001,92.019997,94.279999,85.25975,6058000
2010-05-17,94.809998,95.489998,93.150002,95.190002,86.08268000000001,7078600
2010-05-18,96.290001,97.07,93.529999,94.040001,85.042709,5643200
2010-05-19,93.540001,94.589996,91.199997,93.260002,84.33734100000001,5046800
2010-05-20,91.25,91.5,87.389999,87.970001,79.553459,8413200
2010-05-21,86.07,90.550003,85.160004,89.58000200000001,81.00943000000001,6514400
2010-05-24,89.739998,89.739998,87.339996,87.349998,78.992783,4137400
2010-05-25,84.790001,88.239998,83.550003,88.040001,79.616753,4748900
2010-05-26,89.07,90.5,87.400002,87.809998,79.40876,4644000
2010-05-27,90.400002,91.970001,90.050003,91.839996,83.053185,6533900
2010-05-28,92.32,92.559998,89.260002,89.540001,80.973274,6665000
2010-06-01,87.900002,88.849998,85.239998,85.41999799999999,77.247421,6332700
2010-06-02,86.120003,89.099998,84.5,89.040001,80.52109499999999,6382900
2010-06-03,90.129997,90.599998,86.610001,89.599998,81.027512,10686100
2010-06-04,87.260002,90.639999,87.029999,87.57,79.191742,7082400
2010-06-07,88.559998,89.68,85.82,86.029999,77.799095,6416300
2010-06-08,86.639999,89.0,85.730003,88.889999,80.385452,4732900
2010-06-09,90.43,92.730003,88.440002,88.839996,80.340225,5431500
2010-06-10,90.959999,93.349998,90.699997,93.260002,84.33734100000001,4079600
2010-06-11,92.480003,93.739998,91.779999,93.639999,84.681,3104400
2010-06-14,95.029999,96.699997,93.910004,95.339996,86.218346,5007500
2010-06-15,95.82,98.410004,95.82,98.199997,88.804703,4518000
2010-06-16,97.480003,99.110001,96.800003,97.620003,88.280197,5599200
2010-06-17,98.150002,98.230003,95.779999,97.190002,87.891335,3718200
2010-06-18,97.379997,99.489998,96.209999,97.57,88.234978,4534500
2010-06-21,99.589996,99.959999,94.949997,95.550003,86.408249,4340900
2010-06-22,95.849998,96.029999,93.010002,93.33000200000001,84.40065,3983400
2010-06-23,93.139999,93.25,90.860001,92.209999,83.387794,4106600
2010-06-24,91.730003,92.620003,89.379997,89.66999799999999,81.09079,3688500
2010-06-25,90.66999799999999,90.879997,88.550003,89.91999799999999,81.316879,5565900
2010-06-28,90.339996,90.339996,87.629997,87.709999,79.318352,3926700
2010-06-29,85.959999,86.129997,84.0,84.510002,76.424477,4996900
2010-06-30,84.690002,85.849998,83.849998,84.190002,76.135147,4913600
2010-07-01,83.760002,85.110001,81.940002,83.699997,75.691994,5232500
2010-07-02,84.040001,84.739998,82.32,82.849998,74.923317,2715000
2010-07-06,84.589996,84.709999,82.16999799999999,82.889999,74.959503,4682000
2010-07-07,83.480003,87.050003,83.440002,87.050003,78.721474,4644200
2010-07-08,88.269997,88.269997,86.279999,87.400002,79.038002,3313100
2010-07-09,87.400002,88.019997,86.739998,87.879997,79.47206899999999,2758200
2010-07-12,86.75,86.75,84.199997,85.07,76.930916,6736800
2010-07-13,86.400002,87.339996,85.900002,86.650002,78.359756,4190800
2010-07-14,86.410004,87.230003,85.620003,86.83000200000001,78.522522,2546500
2010-07-15,86.870003,87.160004,84.290001,86.129997,77.88951899999999,5286200
2010-07-16,85.66999799999999,85.66999799999999,82.379997,82.75,74.832901,5485200
2010-07-19,83.910004,85.809998,83.5,85.589996,77.401146,5180200
2010-07-20,84.459999,88.620003,84.459999,88.279999,79.973946,4318100
2010-07-21,87.449997,88.849998,87.0,87.449997,79.22204599999999,10297400
2010-07-22,88.730003,90.120003,87.800003,89.279999,80.879868,7117500
2010-07-23,89.220001,93.43,89.07,92.790001,84.05963100000001,29232100
2010-07-26,94.459999,95.599998,93.5,95.5,86.514664,8226500
2010-07-27,96.07,96.449997,93.910004,94.91999799999999,85.989227,5501400
2010-07-28,94.489998,95.41999799999999,93.610001,94.370003,85.490974,3536600
2010-07-29,94.790001,96.190002,94.489998,95.400002,86.424065,5126900
2010-07-30,94.07,96.260002,93.800003,95.58000200000001,86.58712,4850300
2010-08-02,97.040001,98.800003,96.66999799999999,98.470001,89.205208,4229200
2010-08-03,98.18,98.620003,97.129997,98.019997,88.797539,3696800
2010-08-04,98.150002,98.66999799999999,96.519997,97.760002,88.562004,4428600
2010-08-05,97.099998,97.849998,96.199997,97.550003,88.371773,3410600
2010-08-06,96.339996,96.58000200000001,94.110001,95.949997,86.922302,4642200
2010-08-09,96.309998,96.82,95.230003,96.220001,87.166901,2377200
2010-08-10,94.93,95.900002,93.83000200000001,95.459999,86.478394,3559000
2010-08-11,93.5,93.760002,92.029999,92.33000200000001,83.642914,3971000
2010-08-12,91.260002,93.339996,91.0,91.849998,83.208076,3960400
2010-08-13,91.68,92.58000200000001,91.059998,91.260002,82.673576,2733000
2010-08-16,90.800003,91.690002,90.5,91.400002,82.80040699999999,2661400
2010-08-17,92.349998,93.5,92.010002,93.0,84.249893,3294500
2010-08-18,92.540001,93.25,91.599998,92.83000200000001,84.095863,2690000
2010-08-19,92.489998,92.83000200000001,91.16999799999999,91.75,83.117485,3400300
2010-08-20,90.970001,91.239998,90.0,90.529999,82.012276,3396200
2010-08-23,90.900002,91.18,89.349998,89.459999,81.04293100000001,3645100
2010-08-24,88.0,88.860001,87.349998,87.480003,79.249245,6400400
2010-08-25,86.849998,87.059998,85.349998,86.660004,78.506378,5612700
2010-08-26,87.379997,89.41999799999999,87.16999799999999,87.290001,79.07711,5175000
2010-08-27,87.879997,90.139999,86.599998,89.970001,81.50496700000001,3787300
2010-08-30,89.75,91.059998,89.489998,89.550003,81.124481,3309600
